CASEID,CRASHYEAR,PSU,CASENO,CASENUMBER,CATEGORY,CRASHMONTH,DAYOFWEEK,CRASHTIME,EVENTS,VEHICLES,CAIS,CISS,CINJURED,CINJSEV,CTREAT,ALCINV,DRGINV,MANCOLL,SUMMARY,PANDEMIC,CASEWGT,PSUSTRAT,VERSION
16905,2020,28,20,1-28-2020-020-10,10,3,2,12:39,2,2,0,0,0,0,0,2,2,5,"V1 and V2 were traveling north bound on a four lane physically divided roadway, with two lanes north, and two lanes south bound. V1 was traveling in the number 2 lane passing V2 which was traveling in the number 1 lane. V1 departed its lane to the right and V1's frontal plane impacted the left plane of V2. V1 then rotated counter clockwise, where its right plane impacted the left plane/trailer of V2. V1 then departed the roadway to the left, where it came to final rest on the west road edge. V2 pulled off the roadway to the left, where it came to final rest on the west road edge.",1,553.065086899879,3,5
16906,2020,28,21,1-28-2020-021-07,7,4,5,02:02,2,1,0,0,0,0,0,2,2,0,"V1 was north bound on a two lane non divided bidirectional roadway, when a deer entered the roadway from the right. V1 frontal plane impacted the animal. V1 came to final rest on the right side berm of the roadway.",1,103.649079000883,3,5
16907,2020,48,18,1-48-2020-018-03,3,3,3,15:39,1,1,9,97,1,0,4,2,2,0,V1 was traveling northbound in lane three on a three lane physically divided roadway. V1 lost control began to yaw counter clockwise when the rear of V1 contacted a concrete barrier. V1 came to rest on the road edge.,1,110.871370979085,12,5
16908,2020,48,19,1-48-2020-019-03,3,3,3,15:40,2,2,3,9,2,1,4,2,2,9,"V1 was traveling north on a three lane physically divided roadway in the number 2 lane. V2 was involved in a previous accident and was disabled, facing east, half off the roadway and half in lane 3. V1 attempted to avoid V2 and began to skid due to water/ice on roadway. The front of V1 contacted the right side of V2. V1 continued to travel contacting a cement barrier and coming to rest against the concrete barrier. V2 came to rest facing north on the shoulder.",1,110.871370979085,12,5
16909,2020,59,7,1-59-2020-007-06,6,4,5,16:57,3,2,1,1,1,0,5,2,2,1,"CASE COMPLETED DURING COVID-19 RESPONSE  V2 was westbound on a two lane roadway. V1 exited a parking lot and turned westbound onto the same roadway. The front plane of V1 struck the back plane of V2. V1 then departed the roadway, and struck a flower pot with unknown plane and a building with the front plane.",1,80.5311496239873,6,5
16910,2020,59,8,1-59-2020-008-07,7,4,7,18:10,1,2,0,0,0,0,0,9,9,4,V1 was traveling eastbound on a two way undivided roadway approaching a 4 way intersection.  V2 was northbound towards the same intersection on a two way undivided roadway.  Both vehicles entered the intersection and the front of  V1 impacted the left side of V2.,1,238.604161072413,6,5
16911,2020,32,39,1-32-2020-039-06,6,3,7,23:29,2,1,0,0,0,0,4,1,9,0,"V1 was traveling southwest on an undivided, two-way traffic roadway, negotiating a right curve. V1 departed the roadway to the left. The front of V1 impacted a fire hydrant. V1 started to rotate counter clockwise and rolled over. V1 rolled over right side leading for two quarter turns, coming to rest on its top facing south in the roadway.",1,1083.25579959476,7,5
16958,2020,18,18,1-18-2020-018-09,9,2,7,22:50,1,1,0,0,0,0,4,2,2,0,Vehicle #1 was traveling west.  V1 departed the end of a T-intersection.  The front of V1 contacted a snow bank.,1,279.340631988138,6,5
20064,2020,48,78,1-48-2020-078-10,10,12,2,08:44,1,1,0,0,0,0,0,2,2,0,V1 was traveling north in lane 1 on a 5-lane roadway. V2 was legally parked on the northbound shoulder facing north. V1 departed the right road edge and the front of V1 contacted the left side of V2. V1 rotated clockwise as it continued to contact the left side of V2. V1 came to rest on the shoulder facing southeast. V2 came to rest on the shoulder facing northeast.,0,669.490455406449,12,5
16925,2020,23,10,1-23-2020-010-06,6,3,5,18:05,3,2,99,99,0,0,5,2,2,4,V1 was traveling south on a two way two lane roadway in the southbound lane.  V2 was traveling east in the eastbound lane of a two way two lane intersecting roadway.  V2 struck V1 on the right side with the front plane at the intersection.  V1 continued off the roadway in a southeast direction at the southeast corner striking a stop/street sign with the front right corner.  The sign post was sheared away at the base and struck the passenger side mirror of V1.   V1 came to final rest off the roadway in a field.  V2 rotated clockwise off the initial impact through the intersection and came to final rest at the road edge of the eastbound lane facing west.,1,276.401541902003,5,5
16926,2020,23,11,1-23-2020-011-08,8,3,3,06:11,1,1,2,6,1,0,4,9,9,0,"V1 was traveling east in the eastbound lane of a two way, two lane, non-divided, non controlled roadway. V1 drove off the roadway to the left. V1 continued off the roadway through a field and down into a small ditch with a stream at the bottom and struck the embankment on the opposite side before coming to final rest in the ditch.",1,112.078132125497,5,5
16928,2020,19,38,1-19-2020-038-10,10,3,1,22:50,2,1,0,0,0,0,0,1,2,0,"V1 was traveling southwest on a two-lane undivided roadway. While negotiating a curve, V1 departed the roadway to the right side. The right plane of V1 contacted a tree, rotated clockwise, and the left plane then contacted another tree. V1 came to final rest off the roadway.",1,898.902733248522,9,5
16929,2020,19,39,1-19-2020-039-07,7,4,5,07:27,1,2,0,0,0,0,0,2,2,4,"V1 was traveling west on an undivided three lane roadway, approaching an intersection. V2 was traveling north on a divided four lane roadway, approaching the same intersection. V1 and V2 crossed through the intersection at the same time, with the front plane of V1 contacting the right plane of V2. Both vehicles came to rest on the roadway.",1,184.916351599263,9,5
16930,2020,19,40,1-19-2020-040-07,7,4,5,14:28,1,2,0,0,0,0,0,2,2,1,V1 and V2 were traveling southeast in lane one of a divided roadway approaching an intersection. V2 stopped ahead of V1. V1's front plane contacted V2's rear plane. Both vehicles came to final rest near impact.,1,184.916351599263,9,5
18569,2020,11,56,1-11-2020-056-10,10,7,7,11:14,1,2,0,0,0,0,0,2,2,4,"V1 was traveling south on a two way, two lane roadway approaching an intersection intending to make a left turn. V2 was traveling westbound on a two way, two lane roadway approaching the same intersection intending to continue west. Within the intersection the left side of V1 impacted the front of V2. V1 rotated counterclockwise and at final rest was facing eastbound in the east bound lane, while V2 continued to travel a short distance and came to final rest within the intersection.",0,17155.6753144371,8,5
18570,2020,11,57,1-11-2020-057-10,10,7,7,20:07,1,2,0,0,0,0,0,2,2,1,"V1 was traveling westbound behind V2 on an entrance ramp to  controlled access highway, approaching a mergence area. The front of V1 contacted the back of V2. Both vehicles came to rest in the roadway of the ramp.",0,17155.6753144371,8,5
20326,2020,29,178,1-29-2020-178-06,6,12,5,22:33,4,1,9,97,1,0,8,9,9,0,"V1 was traveling northbound in the first lane of a two lane, two-way left curving roadway. V1 departed the lane on it's left and then departed the roadway on the left. The left front tire of V1 impacted the curb as it departed the roadway. V1 then impacted the curb with its right front tire. V1 continued forward, impacting its frontal plane into a fence. V1 continued forward impacting a building with its frontal plane. V1 came to final rest off the roadway facing northwest.",0,214.169243522214,2,5
20328,2020,21,171,1-21-2020-171-01,1,12,3,05:41,4,2,3,22,3,1,1,1,9,1,"V1 was traveling in a southwesterly direction on a designated north/south divided trafficway (median strip without positive barrier) in lane 2 (of three lanes) and was approaching V2, which was traveling in the same direction, on the same roadway, ahead in lane 3. V1 departed its lane to the left and its front end contacted the back end of V2. Control over V1 and V2 was lost. V1 skidded laterally in a clockwise direction and departed the road on the right, where it overturned (4 quarter turns, leading left). During its rollover, V1 (unknown plane) contacted a barbed wire fence. V2 skidded laterally in a counter-clockwise rotation and departed the road on the left, where it overturned (8 quarter turns, leading right). During its rollover, Occupant 2 was totally ejected from V2. V1 came to rest on its wheels facing an easterly direction on the roadside. V2 came to rest on its wheels facing a southeasterly direction in the median strip.",0,35.2815576980298,11,5
16959,2020,22,25,1-22-2020-025-03,3,3,2,17:22,1,2,0,0,0,0,0,1,2,1,"Vehicle 1 was eastbound on a two lane, two way roadway. Vehicle 2 was eastbound on the same roadway stopped to yield to westbound traffic to make a left turn. Vehicle 1 front plane struck the back plane of vehicle 2 after vehicle 2 had started to accelerate from its stopped position. Vehicle 1 and 2 traveled to the right shoulder post impact and came to rest facing east off the south road edge.",1,29.2424072422433,12,5
16960,2020,22,26,1-22-2020-026-08,8,3,5,16:54,7,1,3,11,1,1,3,1,1,0,"Vehicle #1 was traveling east in lane No.1, of a two-lane undivided roadway. Vehicle #1 departed the right side of the roadway and the right side tires and wheels were damaged as a result of impacting loose rocks (Events 1 & 2). As Vehicle #1 continued forward, the left side tires and wheels were damaged as a result of impacting loose rocks (Events 3 & 4). The frontal plane of Vehicle #1 impacted a steep rock face (Event 5-FOS) that descended to the roadside. Vehicle #1 initiated a rapid clockwise rotation as the left plane came into contact with the rock face in a secondary impact (Event 6). As Vehicle #1 continued to rotate CW, the vehicle tires tripped and initiated a two-quarter roll sequence (Event 7), coming to rest on it's roof.",1,35.1289230230615,12,5
16961,2020,22,27,1-22-2020-027-09,9,3,3,17:13,1,1,1,2,1,0,6,9,9,0,"Vehicle 1 was southbound on a two lane, two way roadway.  Vehicle 1 rotated clock-wise and departed the roadway to the right.  Vehicle 1 tripped and rolled to the left, 2 quarter turns, coming to rest on its top, facing north.",1,175.635958199054,12,5
16962,2020,16,28,1-16-2020-028-03,3,3,1,17:54,6,2,1,1,5,0,8,1,1,4,"V1 was northbound on a three lane roadway. V2 was heading west on a four lane roadway. V1 entered into the intersection to continue north. V2 entered into the same intersection to continue west. The right of V1 impacted with the front of V2 (event 1). Due to impact forces, V1 slid in a northwest direction. The left front and rear tire of V1 impacted the curb (event 2 and 3). The left of V1 impacted with an utility pole (event 4) and a fire hydrant (event 5). V1 rotated off the utility pole counter clockwise and started a right leading roll (event 6) completing two quarter turns. V1 continued rotating counter clock wise before coming to final rest a few feet from impact.",1,133.367357619456,5,5
16963,2020,16,29,1-16-2020-029-06,6,3,3,17:45,2,1,1,1,1,0,8,9,9,0,V1 was traveling west in lane one of a 2 lane undivided roadway. V1 attempted to pass a vehicle and subsequently lost control. V1 departed its initial travel lane to the left. V1 then departed the roadway to the left. The front of V1 impacted a fence. V1 continued off the roadway. The front of V1 impacted a shed. V1 came to final rest against the shed.,1,221.055293250171,5,5
16964,2020,16,30,1-16-2020-030-06,6,3,6,08:03,2,1,9,97,1,0,8,2,2,0,V1 was heading north on a four lane divided interstate roadway. V1 departed the roadway to the right. The front of V1 impacted with the guardrail end. V1 began to rotate counter clockwise. V1 then began to roll right. V1 completed four quarter turns before coming to final rest just before the bridge.,1,221.055293286322,5,5
16965,2020,33,20,1-33-2020-020-06,6,3,1,01:30,1,1,99,99,0,0,9,9,9,0,"Vehicle 1 was driving south on a two lane undivided roadway. V1 entered an intersection, departed the roadway to the right, and the front plane of V1 struck a pole.",1,116.638192639903,12,5
16966,2020,33,21,1-33-2020-021-06,6,4,4,20:50,1,1,1,1,1,0,4,2,2,0,Vehicle #1 was traveling south on an undivided roadway. V1 swerved for a vehicle in the road and departed the road to the right. The front plane of V1 contacted an embankment.,1,116.638192639903,12,5
16967,2020,33,22,1-33-2020-022-04,4,2,6,17:02,1,2,0,0,0,0,5,2,2,4,"Vehicle #1 was traveling east on a two-way, two lane street, approaching an intersection. Vehicle #2 was traveling south on a one-way, two lane street in lane one, approaching the same intersection. V1 stopped at a stop sign, then entered the intersection. The front plane of V1 contacted the left plane of V2.",1,179.362667874904,12,5
16968,2020,20,18,1-20-2020-018-03,3,3,4,08:35,1,1,1,1,1,0,9,2,2,0,"V1 was traveling south in lane 2 on a 3-lane, one way roadway. V1 rotated counter-clockwise on the rain soaked roadway, departed the left road edge then tripped and rolled 3-quarter turns coming to rest on its right side facing west.",1,202.880532587636,11,5
16363,2020,32,14,1-32-2020-014-06,6,1,6,20:59,1,1,99,99,0,0,9,9,9,0,V1 was traveling south bound negotiating a right curve. V1 departed its lane to the right and departed the roadway. The front of V1 impacted a wooden utility pole.,0,1076.60562731367,7,5
16364,2020,32,15,1-32-2020-015-07,7,1,2,13:47,2,1,0,0,0,0,0,2,2,1,"V1 and V2 were traveling south on a major highway. V1 was traveling behind V2. Before impact, V1 attempted to brake and steer to the left. The front of V1 impacted the rear of V2. V1 started to rotate clockwise and rolled over for two quarter turns.",0,3040.60019322505,7,5
16365,2020,32,16,1-32-2020-016-03,3,2,3,13:00,1,2,1,2,1,0,4,2,2,1,V1 was behind V2 traveling east approaching a four way intersection. During the approach to the intersection the front of V1 impacted the back of V2.,0,649.539061642884,7,5
16366,2020,23,4,1-23-2020-004-01,1,1,4,13:56,1,1,5,45,1,1,1,1,1,0,"V1 was traveling southbound on a non-divided, two lane roadway. V1 was negotiating a curve when it departed the right side of the roadway. V1 traveled across a grassy area, impacted a tree with the frontal plane, then came to final rest.",0,152.917838144131,5,5
16367,2020,76,11,1-76-2020-011-08,8,2,3,08:50,3,1,9,97,1,0,9,9,9,0,"V1 was traveling north on a two way, two lane, undivided roadway negotiating a left hand curve in the roadway.  V1 departed the right hand (eastern) side of the roadway contacting a small tree with its frontal plane.  V1 continued driving off of the roadway contacting an embankment with its frontal plane, and then contacting another tree with its frontal plane.  V1 came to final rest off of the roadway.",0,25.3719372809981,3,5
16368,2020,76,12,1-76-2020-012-08,8,2,3,09:57,3,1,2,4,1,0,4,9,1,0,"V1 was traveling east on a two way, two lane, undivided roadway negotiation a left hand curve in the roadway.  V1 departed the right hand side of the roadway (southern) striking a tree with its frontal plane.  V1 continued forward down an embankment, striking a secondary tree with its frontal plane, and then striking a fence also with its frontal plane.  V1 came to final rest off of the roadway against the fence facing northeast.",0,25.3719372809981,3,5
16369,2020,66,6,1-66-2020-006-03,3,2,4,06:10,2,1,1,1,1,0,4,1,9,0,"V1 was traveling west, in lane one, of a four lane, two way, grass median divided roadway with a positive barrier. V1 departed the right side of the roadway while in a clockwise yaw. V1 proceeded through the ditch striking a tree at the top of the ditch with its rear plane. V1 then rolled two quarter turns, right side leading, coming to rest on its roof at the bottom of the ditch, facing west.",0,157.956191171001,6,5
16370,2020,66,7,1-66-2020-007-09,9,2,5,04:55,2,1,9,97,1,0,9,2,9,0,"V1 was traveling west on a two lane, two way, physically divided roadway, in lane one. V1 departed its lane to the left, and then departed the left side of the roadway in a counterclockwise yaw. V1 struck a cable barrier guardrail primarily with its right side. V1 then overturned, right side leading, two quarter turns. V1 came to rest on its top plane headed east.",0,918.057553139454,6,5
16286,2020,31,5,1-31-2020-005-04,4,1,3,03:05,1,1,0,0,0,0,0,1,2,0,"V1 was northbound on a two lane, two way, undivided roadway. V1 entered water that had covered the roadway causing loss of control and engine stalling. V1 came to final rest facing north on the east side of the roadway in the water.",0,237.357218467692,6,5
16287,2020,31,6,1-31-2020-006-04,4,1,2,16:52,1,1,0,0,0,0,0,2,2,0,"V1 was southbound on a two lane, two way, undivided roadway. A deer entered the road from the north striking the front end of the vehicle causing damage. V1 came to final rest on the north side of the road facing south.",0,237.357218467692,6,5
16290,2020,25,8,1-25-2020-008-06,6,1,4,18:07,2,2,0,0,0,0,5,9,9,6,"V1 was negotiating a right curve traveling north on a two lane, two-way road in lane 1. V2 was traveling south on the same roadway, negotiating a left curve. V1 departed its original travel lane to the left. The front of V1 impacted the left side of V2. V2 departed the east side of the roadway impacting a pole with wires with its frontal plane before coming to final rest. V1 came to final rest on the roadway.",0,399.137094456167,2,5
16291,2020,73,5,1-73-2020-005-06,6,1,4,09:30,1,2,99,99,0,0,9,2,2,4,"V1 was traveling south on a two way, two lane, undivided roadway. V2 was entering the same roadway from a driveway turning left. V1 crossed paths with V2 contacting the left side of V2 with the front plane. Both vehicles came to final rest on the roadway.",0,166.576306288964,3,5
16292,2020,73,6,1-73-2020-006-07,7,1,3,14:07,1,2,1,2,1,0,4,2,9,4,"V1 was traveling east on a two way, two lane undivided roadway approaching an intersection. V2 was traveling west approaching the same intersection. V1 made a left hand turn at the intersection contacting the left side of V2 with its frontal plane. Both vehicles came to final rest on the roadway.",0,562.738116861972,3,5
16294,2020,16,8,1-16-2020-008-03,3,1,6,11:58,2,2,9,97,1,0,8,2,2,2,V2 was traveling west on a 3 lane undivided roadway. V1 was traveling east on the same roadway. V1 traveled over the left lane line. The front of V1 impacted the front of V2 (Event 1). V1 continued across the westbound lane departing the roadway to the left. The front of V1 impacted with a marquee sign (Event 2) where it came to final rest facing northwest. V2 came to final rest on the roadway near the point of contact facing west.,0,221.583905876562,5,5
16560,2020,31,13,1-31-2020-013-04,4,2,3,06:30,1,1,0,0,0,0,0,2,2,0,"V1 was northbound on a two lane, two way, undivided roadway. The front of V1 impacted a deer causing damage. V1 came to final rest on the right side of the roadway facing north.",0,211.897011684753,6,5
16561,2020,29,26,1-29-2020-026-09,9,2,4,22:41,3,1,9,97,1,0,8,2,2,0,V1 was traveling northbound in the first lane of a two lane two-way roadway approaching an intersection. V1 was attempting to continue straight through the intersection. V1 departed the first lane to the right and then the roadway to the right. The frontal plane of V1 contacted a curb (Event 1). V1's frontal plane then contacted a bush (Event 2). V1's frontal plane contacted a building (Event 3) where it came to final rest off the roadway facing north.,0,278.459143020108,2,5
16562,2020,29,27,1-29-2020-027-07,7,2,4,10:57,1,2,0,0,0,0,0,9,9,4,"The intersection is controlled by four way stop signs. V1 was traveling southbound in the first lane of a two lane, two way roadway approaching the intersection. V2 was traveling eastbound in the first lane of a two lane, two way roadway approaching the intersection.  V1 was attempting to turn left to travel eastbound. V2 was attempting to turn left to travel northbound. Both V1 and V2 entered the intersection at the same time.The frontal plane of V1 impacted the left side plane of V2. Both vehicles were at final rest in the roadway: V1 was facing southbound and V2 was facing in the northeast direction.",0,227.933517813127,2,5
16563,2020,29,28,1-29-2020-028-07,7,2,5,13:27,4,1,0,0,0,0,0,9,9,0,V1 was traveling southbound in the first lane of a four lane two-way roadway. A non-contact vehicle was traveling southbound in the second lane of a four lane two-way roadway. The non-contact vehicle attempted to change lanes and departed the second lane to the right. V1 departed the roadway to the right to avoid the non-contact vehicle. The frontal plane of V1 contacted the curb (Event 1). V1's frontal plane then contacted a sign post (Event 2). V1's frontal plane then contacted a guardrail face (Event 3). V1's frontal plane contacted a sign post (Event 4) where it came to final rest off the roadway facing south.,1,227.933517815418,2,5
16564,2020,29,29,1-29-2020-029-03,3,2,5,00:18,2,1,1,1,1,0,4,9,2,0,"V1 was traveling westbound in the first lane of a two lane, two-way roadway. V1 departed the roadway on the right side. The frontal plane of V1 impacted a cylinder pole. V1 continued forward impacting a fire hydrant with its frontal plane. V1 continued forward and rotated slightly clockwise where it came to final rest on the roadway facing northwest.",0,42.6551279342752,2,5
16565,2020,15,12,1-15-2020-012-03,3,2,2,11:57,1,2,99,99,0,0,8,9,9,4,"V1 was traveling northbound in the left lane of a two way roadway with two lanes of travel in each direction approaching an intersection. V2 was traveling southbound in lane three of a two way roadway with five lanes approaching the same intersection. As V2 was making a left turn at the intersection, the frontal plane of V1 made impact with the right side plane of V2. Both vehicles came to final rest on the roadway.",0,33.6122210612707,1,5
16566,2020,15,13,1-15-2020-013-03,3,2,6,09:40,2,2,1,1,1,0,4,9,9,4,"V1 was traveling eastbound on a two way roadway with a single lane of travel in each direction. V2 was traveling southbound on a two way roadway with a single lane of travel in each direction. At the above intersection, the frontal plane of V2 made impact with the left side plane of V1. V1 continued to move forward and departed the roadway on the left side and the frontal plane of V1 made impact with a pole. V1 came to final rest off the roadway. V2 came to final rest on the the roadway.",0,33.6122210620602,1,5
16676,2020,21,21,1-21-2020-021-07,7,2,2,05:45,3,1,0,0,0,0,0,2,2,0,"V1 was traveling south through the right hand curve of the roadway on a not physically divided trafficway (two-way traffic) in lane 1 (of two lanes).  V1 departed and then returned to the roadway on the right.  V1 then departed the roadway on the left, where its right side wheels contacted an unknown object, and its front end came into contact with a tree.  V1 came to rest on its wheels, facing an easterly direction in the open desert terrain.",0,512.28239393233,11,5
16677,2020,21,22,1-21-2020-022-09,9,2,7,99:99,2,1,99,99,0,0,9,9,2,0,"V1 was traveling north on a not physically divided roadway (two-way traffic) in lane 1 (of two lanes) when it departed and was returned to the roadway on the right. V1 then departed the roadway on the left and overturned (2 quarter turns, leading right). During the rollover, the top of V1 contacted a guy wire. V1 came to rest facing a southwesterly direction.",0,479.079062862236,11,5
16678,2020,21,23,1-21-2020-023-06,6,2,3,13:03,1,2,1,1,1,0,5,2,2,9,"V1 was traveling from east to west (making a U-turn) through an intersection from a divided trafficway (median strip without positive barrier) in lane 4 (of four lanes).  V2 was traveling west through the same intersection from a divided trafficway (median strip without positive barrier) in lane 2 (of two lanes).  In the intersection, the front end of V1 came into contact with the left side of V2.  V1 came to rest on its wheels, in the intersection, facing a northwesterly direction.  V2 came to rest on its wheels, west of the intersection (along the north curb line of the roadway), facing a westerly direction.",0,163.387644147269,11,5
16679,2020,21,24,1-21-2020-024-06,6,2,1,21:58,1,2,1,1,2,0,4,9,2,4,"V1 was traveling from west to north (making a right turn) through a driveway junction from a not physically divided trafficway (two-way traffic driveway) in lane 1 (of two lanes).  V2 was traveling north through the same driveway junction from a not physically divided trafficway (two-way traffic) in lane 2 (of six lanes).  In the junction, the front end of V1 came into contact with the right side of V2.  V1 came to rest on its wheels facing a northwesterly direction in lane 1 of the northbound travel lanes, just north of the junction.  V2 came to rest on its wheels facing a northerly direction, just north of V1, in lane 2 of the northbound travel lanes.",0,163.387644147269,11,5
16650,2020,76,18,1-76-2020-018-02,2,2,3,07:15,1,2,1,1,1,0,4,9,9,4,"V1 was traveling west on a two way, five lane roadway divided by two cable barrier guardrails approaching an intersection. V2 was traveling north negotiating a right hand curve on a two way, two lane, undivided roadway approaching the same intersection as V1. V2 while crossing the intersection contacted the left plane of V1 with its frontal plane. V1 and V2 both came to final rest on the roadway.",0,15.9010773593936,3,5
16651,2020,31,15,1-31-2020-015-07,7,2,7,18:30,2,1,0,0,0,0,0,2,2,0,"V1 was northbound on a two lane, two way, roadway approaching a T-intersection. V1 crossed through the T intersection departing the north side of the intersection. V1 impacted a culvert with its undercarriage causing damage before impacting a ditch with the frontal plane. V1 came to final rest at the second point of impact facing north.",0,240.130193414505,6,5
16652,2020,31,16,1-31-2020-016-10,10,2,3,12:34,1,2,0,0,0,0,0,2,2,4,"V1 was stopped at a stop sign heading southbound on a two lane, two way, undivided roadway approaching a four leg intersection. V2 was east bound on a two lane, two way, undivided roadway approaching the same intersection. V1 entered the intersection striking the left side of V2 with its frontal plane causing damage. V1 rotated counter clockwise coming to final rest in the middle of the intersection facing southeast. V2 came to final rest on the south east side of the intersection facing east.",0,350.224747976596,6,5
16653,2020,66,13,1-66-2020-013-05,5,2,3,12:34,1,2,1,2,3,0,4,2,9,1,"V2 was stopped in traffic headed northwest on a two lane, two way, undivided roadway. V1 was traveling northwest behind V2. The front plane of V1 struck the rear plane of V2. V1 came to rest headed northwest on the right side of the roadway. V2 came to rest in the ditch on the right side of the roadway.",0,156.317923666252,6,5
16654,2020,66,14,1-66-2020-014-01,1,2,4,22:24,4,2,9,97,2,0,1,9,9,0,V1 was traveling northeast on a two-lane roadway. V2 was traveling southwest on the same roadway. V2 departed his travel lane to the right striking a guardrail with its front right corner and continued down its right side. The guardrail deflected V2 back onto the roadway and across the left lane line. The front plane of V2 struck the front plane of V1. V1 rotated counter-clockwise and its right side contacted the concrete bridge barrier as its back end was lifted in the air and its undercarriage came to rest on top of the concrete barrier. V2 rotated counter-clockwise and came to rest near the point of impact headed east.,0,140.201933035703,6,5
16657,2020,26,28,1-26-2020-028-06,6,2,1,17:00,1,2,99,99,0,0,9,2,2,4,V1 was traveling south exiting a parking lot to make a right turn. V2 was traveling westbound in the #1 lane of a 3 lane roadway. A non-collision vehicle turned into the parking lot between V1 and V2. The left of V1 impacted the front of V2.,0,557.439137556683,10,5
16665,2020,29,30,1-29-2020-030-07,7,2,5,07:47,2,2,0,0,0,0,0,2,2,5,"V1 and V2 were traveling eastbound on a three lane, cable barrier divided roadway. V1 was traveling in lane three, V2 was traveling in lane two. V1 attempted to change lanes to the right. The right plane of V1 impacted the left plane of V2. V2 began a counterclockwise yaw, went off road to the left, and struck a cable barrier with its right side plane. V2 came to rest at the cable barrier facing west. V1 came to a controlled stop on the left shoulder facing east.",1,445.241250986885,2,5
16666,2020,29,31,1-29-2020-031-03,3,2,7,17:20,4,1,9,97,1,0,8,2,2,0,V1 was traveling northbound in the first lane of a two lane two-way roadway negotiating a curve. V1 departed the first lane to the left to pass a non-contact vehicle forcing it to depart the roadway to the right. V1 re-entered the first lane to the right then departed the roadway to the right. The frontal plane of V1 contacted a tree stump (Event 1). V1 continued forward and the frontal plane of V1 contacted a rock (Event 2). V1's frontal plane then contacted a tree (Event 3). V1 then rotated clockwise and the rear plane contacted another tree (Event 4) where it came to final rest off the roadway facing north.,0,89.865106801454,2,5
16667,2020,29,32,1-29-2020-032-07,7,2,7,15:18,1,2,0,0,0,0,0,9,9,4,"V1 was traveling southbound in the first lane of a two lane, two-way roadway approaching the intersection. V2 was traveling westbound in the first lane of a two lane, two-way roadway approaching the intersection. Both vehicles entered the intersection at the same time. The left side plane of V1 was impacted by the frontal plane of V2. Both vehicles were at final rest in the roadway: V1 was facing southbound and V2 was facing westbound.",0,445.241251088784,2,5
16680,2020,23,7,1-23-2020-007-01,1,2,1,17:55,4,2,9,97,5,0,1,9,9,4,V1 was traveling northbound in lane one of a two lane non-divided roadway. V2 was traveling westbound in lane one of a two lane non-divided highway. V1 and V2 entered the intersection and the frontal plane of V2 impacted the left side plane of V1 (Event 1). V1 rotated rapidly in a counterclockwise rotation and departed the northwest intersection quadrant impacting a utility pole (Event 2) and a utility box (Event 3) with its left side plane before coming to final rest. V2 departed the northwest intersection quadrant as its frontal plane impacted a fence (Event 4) before coming to final rest.,1,122.369555207251,5,5
16681,2020,13,17,1-13-2020-017-03,3,2,6,23:26,1,1,0,0,0,0,0,2,2,0,"V1 was traveling north on a two lane, non-divided, two-way roadway, turning right. V2 was parked facing north. V1 departed the left side of the roadway and the front of V1 contacted the left side of V2.",0,1024.13848969587,7,5
16682,2020,13,18,1-13-2020-018-03,3,2,5,14:55,1,2,1,1,1,0,4,2,2,1,"V1 was traveling south on a 2 lane, divided roadway. V2 was traveling south in the same lane ahead of V1. The front of V1 contacted the back of V2.",0,1024.13848969587,7,5
16212,2020,76,6,1-76-2020-006-07,7,1,7,12:34,1,2,0,0,0,0,0,9,9,6,"V1 was traveling south on a two way, two lane, undivided roadway negotiating a left hand curve in the roadway.  V2 was traveling northwest on the same roadway negotiating a right hand curve in the roadway.  V2 departed the left lane line and the front of V2 contacted the left side of V1.  V1 and V2 both came to final rest on the roadway.",0,49.159516094823,3,5
16213,2020,18,4,1-18-2020-004-07,7,1,7,07:20,1,1,0,0,0,0,0,2,2,0,Vehicle #1 was traveling south.  V1 lost control and departed the road to the right.  V1 rolled over 2 quarter turns to the left.,0,1208.66991657914,6,5
16214,2020,18,5,1-18-2020-005-06,6,1,5,07:34,1,2,1,1,1,0,4,2,2,4,"Vehicle #1 was traveling north, on a two way, two lane, undivided roadway, negotiating a left curve. Vehicle #2 was stopped facing south on an intersecting roadway, on a two way, two lane, undivided roadway. V1 lost control and departed the road to the right. V1 entered V2's roadway and the front of V1 contacted the left of V2.",0,413.510314437393,6,5
16215,2020,15,4,1-15-2020-004-07,7,1,7,13:40,2,2,0,0,0,0,0,9,9,4,"V1 was traveling northbound towards an intersection in the right lane of a two way roadway with one lane of travel northbound and two lanes of travel southbound. V2 was traveling southbound towards the same intersection on the same roadway with a single lane of travel in each direction. As V1 was making a left turn at the intersection, the frontal plane of V1 made contact with the frontal plane of V2. V2 departed the roadway at the south side of the intersection and the left side of V2 impacted a sign post.  V1 came to rest facing south on the roadway.",0,187.668137076941,1,5
16216,2020,15,5,1-15-2020-005-03,3,1,7,10:23,1,2,99,99,0,0,8,9,9,4,"V1 was traveling west in lane two of a two-way roadway with four lanes of travel westbound and two lanes of travel eastbound. V2 was traveling south in lane three of a two-way roadway with three lanes of travel southbound and two lanes of travel northbound. As V2 was making a left turn at the above intersection, the frontal plane of V1 contacted the left side plane of V2. V1 and V2 came to final rest on the roadway.",0,40.0332508932291,1,5
